[ 2025-03-10 19:11:14,229 ] 18 networksecurity - INFO - Initiating data ingestion
[ 2025-03-10 19:11:17,152 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-10 19:11:17,152 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-10 19:11:17,152 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-10 19:11:17,181 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-10 19:11:17,181 ] 20 networksecurity - INFO - Data Ingestion Completed
[ 2025-03-10 19:11:17,185 ] 26 networksecurity - INFO - Initiating data validation
[ 2025-03-10 19:11:17,197 ] 33 root - INFO - Required number of columns:2
[ 2025-03-10 19:11:17,197 ] 34 root - INFO - Data frame has columns:31
[ 2025-03-10 19:11:17,197 ] 33 root - INFO - Required number of columns:2
[ 2025-03-10 19:11:17,197 ] 34 root - INFO - Data frame has columns:31
[ 2025-03-10 19:11:17,296 ] 28 networksecurity - INFO - Data Validation Completed
[ 2025-03-10 19:11:17,296 ] 33 root - INFO - Initiate the data transformation
[ 2025-03-10 19:11:17,296 ] 50 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-10 19:11:17,296 ] 52 root - INFO - Starting data transformation
[ 2025-03-10 19:11:17,307 ] 43 root - INFO - Initializing KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-10 19:11:17,314 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 19:11:17,317 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 19:11:17,317 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 19:11:17,319 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 19:11:17,319 ] 35 root - INFO - Data Transformation Completed
