[ 2025-03-10 13:20:34,561 ] 17 networksecurity - INFO - Initiating data ingestion
[ 2025-03-10 13:20:36,005 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-10 13:20:36,006 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-10 13:20:36,006 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-10 13:20:36,035 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-10 13:20:36,035 ] 19 networksecurity - INFO - Data Ingestion Completed
[ 2025-03-10 13:20:36,039 ] 25 networksecurity - INFO - Initiating data validation
[ 2025-03-10 13:20:36,052 ] 33 root - INFO - Required number of columns:2
[ 2025-03-10 13:20:36,052 ] 34 root - INFO - Data frame has columns:31
[ 2025-03-10 13:20:36,052 ] 33 root - INFO - Required number of columns:2
[ 2025-03-10 13:20:36,052 ] 34 root - INFO - Data frame has columns:31
[ 2025-03-10 13:20:36,126 ] 27 networksecurity - INFO - Data Validation Completed
