[ 2025-03-10 13:15:50,102 ] 14 root - INFO - Initiate the data ingestion
[ 2025-03-10 13:15:51,470 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-10 13:15:51,470 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-10 13:15:51,470 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-10 13:15:51,500 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-10 13:15:51,500 ] 16 root - INFO - Data Initiation Completed
[ 2025-03-10 13:15:51,504 ] 21 root - INFO - Initiate the data validation
[ 2025-03-10 13:15:51,517 ] 33 root - INFO - Required number of columns:2
[ 2025-03-10 13:15:51,517 ] 34 root - INFO - Data frame has columns:31
[ 2025-03-10 13:15:51,517 ] 33 root - INFO - Required number of columns:2
[ 2025-03-10 13:15:51,517 ] 34 root - INFO - Data frame has columns:31
[ 2025-03-10 13:15:51,610 ] 23 root - INFO - Data Validation Completed
